item_id,item_name,item_description,item_price,item_category,item_is_veg,restaurant_name,restaurant_address,restaurant_phone_numbers,restaurant_cuisines,restaurant_opening_hours,restaurant_dining_rating,restaurant_delivery_rating,restaurant_dining_ratings_count,restaurant_delivery_ratings_count,restaurant_source_url,created_at,updated_at
1,Korean Spicy Paneer Burger,"""Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean",299.0,Burgers,true,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
2,Korean Spicy Chicken Burger,"""Crunchy Juicy whole muscle chicken patty dunked in hot and sweet Korean glaze",299.0,Burgers,false,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
3,Korean Spicy Fries,"""Cheesy Fries with hot and sweet Korean glaze. 
Qty: 174 Gms| Kcal: 496.70",159.0,Sides & Snacks,true,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
4,2Crispy Veg Double Patty Burger+Korean Spicy Fries,,357.0,Meal Combos,true,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
5,Korean Spicy Chicken (4 Pc),"""Boneless Chicken dunked in hot and sweet Korean glaze.
Qty: 155 Gms| Kcal: 350.176",199.0,Sides & Snacks,false,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
6,Korean Spicy Chicken (4pc) + Crispy Chicken Burger,,298.0,Meal Combos,false,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
7,Korean Spicy Chicken (7 Pc),"""Boneless Chicken dunked in hot and sweet Korean glaze. 
Qty: 221 Gms| Kcal:",299.0,Sides & Snacks,false,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
8,Korean Spicy Chicken Wings (4pc),"""Chicken Wings dunked in hot and sweet Korean glaze.
Qty: 172 Gms| Kcal: 496.80",229.0,Sides & Snacks,false,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
9,2Crispy Veg Burger+Korean Spicy Fries+2Coke,,399.0,Meal Combos,true,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
10,2Crispy Chicken Burger+Korean Spicy Chicken(4pc)+2Coke,,449.0,Meal Combos,false,Burger King,"13/29 & 13/30, Ajmal Khan Road, Karol Bagh, New Delhi, Karol Bagh, New Delhi, New Delhi","[""+911149045132""]","[""Burgers"", ""Fast Food"", ""Desserts"", ""Shakes""]","[{""day"": ""Monday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Tuesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Wednesday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Thursday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Friday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Saturday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}, {""day"": ""Sunday"", ""hours"": ""12midnight \u2013 6am, 9am \u2013 12midnight (Today)""}]",3.7,4.2,704,41800,https://www.zomato.com/ncr/burger-king-karol-bagh-new-delhi/order,2025-04-23T17:37:39.256911,2025-04-23T17:37:39.256911
